260706-02:01:04.257293 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-02:01:04.257523 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-02:01:04.257600 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260706-02:01:04.260788 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-02:01:04.263895 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-02:01:04.264432 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-02:01:04.277739 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

260706-02:01:04.292198 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDK_FirmwareName
260706-02:01:04.292442 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:XHC3_8.4p1s1_PROD_sdy
260706-02:01:04.294949 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_RFC.Feature.AccountInfo.AccountID

260706-02:16:04.266209 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] DeviceInfoProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_MAC
260706-02:16:04.266447 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] Successfully obtained MAC in getVal 3c:62:f0:3a:f5:a7
260706-02:16:04.266524 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] device info get value:3c:62:f0:3a:f5:a7
260706-02:16:04.268914 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv4Address

260706-02:16:04.272218 [mod=RTMESSAGE, lvl=INFO] [tid=2242] WifiProvider_getHandler Device.WiFi.X_RDKCENTRAL-COM_IPv6Address

260706-02:16:04.272768 [mod=RDKCPROVIDER, lvl=INFO] [tid=2242] IPV6 address is 2601:240:de00:b470:3e62:f0ff:fe3a:f5a7
260706-02:16:04.281723 [mod=RTMESSAGE, lvl=INFO] [tid=2296] RFCFeatureProvider_getHandler Device.DeviceInfo.X_RDKCENTRAL-COM_Syndication.PartnerId

